Product_Name,Size,Milk,Whip,Serving_Size,Calories,Total_Fat(g),Saturated_Fat(g),Trans_Fat(g),Cholesterol(mg),Sodium_mg,Carbohydrates(g),Dietary_Fiber(g),Sugar(g),Protein(g),Vitamin_A(%DV),Vitamin_C(%DV),Calcium(%DV),Iron(%DV),Caffiene_mg
Caffè Misto,Short,2%,No Whip,236,50.0,2.0,1.0,0.1,10.0,50,5,0,5.0,4.0,6,0,10,0,75
Caffè Misto,Short,Whole,No Whip,236,70.0,3.5,2.0,0.1,10.0,50,5,0,5.0,3.0,4,0,10,0,75
Caffè Misto,Short,Soy,No Whip,236,40.0,1.5,0.2,0.0,0.0,40,3,0,2.0,3.0,4,0,10,6,75
Caffè Misto,Tall,Nonfat,No Whip,354,60.0,0.2,0.1,0.0,5.0,70,8,0,8.0,6.0,10,0,20,0,115
Caffè Misto,Tall,2%,No Whip,354,80.0,3.0,1.5,0.1,15.0,80,8,0,8.0,5.0,8,0,20,0,115
Caffè Misto,Tall,Whole,No Whip,354,100.0,5.0,3.0,0.2,15.0,70,8,0,8.0,5.0,8,0,15,0,115
Caffè Misto,Tall,Soy,No Whip,354,60.0,2.5,0.3,0.0,0.0,60,5,1,4.0,4.0,6,0,20,8,115
Caffè Misto,Tall,Coconut,No Whip,354,60.0,3.5,3.5,0.0,0.0,70,6,0,5.0,1.0,0,0,0,0,115
Caffè Misto,Grande,Nonfat,No Whip,473,70.0,0.2,0.1,0.0,5.0,90,10,0,10.0,7.0,15,0,25,0,150
Caffè Misto,Grande,Whole,No Whip,473,130.0,7.0,4.0,0.2,20.0,95,10,0,10.0,7.0,10,0,20,0,150
Caffè Misto,Grande,Soy,No Whip,473,80.0,3.0,0.4,0.0,0.0,80,6,1,5.0,6.0,8,0,25,10,150
Caffè Misto,Venti®,Nonfat,No Whip,591,90.0,0.3,0.2,0.0,5.0,115,13,0,13.0,9.0,15,0,30,0,195
Caffè Misto,Venti®,Whole,No Whip,591,160.0,9.0,5.0,0.3,25.0,120,13,0,13.0,9.0,10,0,25,0,195
Caffè Misto,Venti®,Soy,No Whip,591,100.0,4.0,0.5,0.0,0.0,100,8,1,6.0,7.0,10,0,30,15,195
Caffè Misto,Venti®,Coconut,No Whip,591,80.0,5.0,4.5,0.0,0.0,90,7,0,7.0,1.0,0,0,0,0,195
Clover® Brewed Coffee - Dark Roast,Short,No Milk,No Whip,236,10.0,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,0,0,0,0,190
Clover® Brewed Coffee - Dark Roast,Tall,No Milk,No Whip,354,10.0,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,0,0,0,0,280
Clover® Brewed Coffee - Dark Roast,Grande,No Milk,No Whip,473,10.0,0.0,0.0,0.0,0.0,10,0,0,0.0,1.0,0,0,0,0,380
Clover® Brewed Coffee - Light Roast,Short,No Milk,No Whip,236,10.0,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,0,0,0,0,155
Clover® Brewed Coffee - Light Roast,Grande,No Milk,No Whip,473,10.0,0.0,0.0,0.0,0.0,10,0,0,0.0,1.0,0,0,0,0,340
Clover® Brewed Coffee - Light Roast,Venti®,No Milk,No Whip,591,10.0,0.0,0.0,0.0,0.0,10,0,0,0.0,1.0,0,0,0,0,425
Clover® Brewed Coffee - Medium Roast,Short,No Milk,No Whip,236,10.0,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,0,0,0,0,170
Clover® Brewed Coffee - Medium Roast,Tall,No Milk,No Whip,354,10.0,0.0,0.0,0.0,0.0,10,0,0,0.0,0.0,0,0,0,0,280
Clover® Brewed Coffee - Medium Roast,Grande,No Milk,No Whip,473,10.0,0.0,0.0,0.0,0.0,10,0,0,0.0,1.0,0,0,0,0,375
Clover® Brewed Coffee - Medium Roast,Venti®,No Milk,No Whip,591,10.0,0.0,0.0,0.0,0.0,10,0,0,0.0,1.0,0,0,0,0,445
Iced Coffee,Tall,No Milk,No Whip,354,60.0,0.0,0.0,0.0,0.0,10,15,0,15.0,0.2,0,0,0,0,120
Iced Coffee,Grande,No Milk,No Whip,473,80.0,0.1,0.0,0.0,0.0,10,20,0,20.0,0.3,0,0,2,0,165
Iced Coffee,Venti®,No Milk,No Whip,709,120.0,0.1,0.0,0.0,0.0,15,30,0,30.0,0.4,0,0,2,0,235
Iced Coffee,Trenta,No Milk,No Whip,887,160.0,0.1,0.0,0.0,0.0,15,40,0,39.0,1.0,0,0,2,0,280
Iced Coffee with Milk,Tall,Nonfat,No Whip,354,80.0,0.1,0.0,0.0,0.0,30,17,0,17.0,2.0,2,0,6,0,90
Iced Coffee with Milk,Tall,2%,No Whip,354,80.0,1.0,0.5,0.0,5.0,30,17,0,17.0,2.0,2,0,6,0,90
Iced Coffee with Milk,Tall,Whole,No Whip,354,90.0,1.5,1.0,0.0,5.0,30,17,0,17.0,2.0,2,0,6,0,90
Iced Coffee with Milk,Tall,Soy,No Whip,354,80.0,1.0,0.1,0.0,0.0,25,16,0,16.0,2.0,2,0,6,2,90
Iced Coffee with Milk,Tall,Coconut,No Whip,354,80.0,1.0,1.0,0.0,0.0,25,17,0,16.0,0.3,0,0,0,0,110
Iced Coffee with Milk,Grande,Nonfat,No Whip,473,100.0,0.1,0.0,0.0,0.0,35,23,0,23.0,2.0,4,0,8,0,125
Iced Coffee with Milk,Grande,2%,No Whip,473,110.0,1.5,1.0,0.1,5.0,40,23,0,23.0,2.0,4,0,8,0,125
Iced Coffee with Milk,Grande,Whole,No Whip,473,120.0,2.0,1.0,0.1,5.0,35,23,0,23.0,2.0,2,0,8,0,125
Iced Coffee with Milk,Grande,Soy,No Whip,473,110.0,1.0,0.1,0.0,0.0,35,22,0,21.0,2.0,2,0,8,4,125
Iced Coffee with Milk,Grande,Coconut,No Whip,473,100.0,1.5,1.5,0.0,0.0,35,22,0,22.0,0.4,0,0,0,0,150
Iced Coffee with Milk,Venti®,Nonfat,No Whip,709,160.0,0.1,0.1,0.0,0.0,60,35,0,35.0,4.0,6,0,15,0,170
Iced Coffee with Milk,Venti®,2%,No Whip,709,170.0,2.0,1.5,0.1,10.0,65,35,0,35.0,4.0,6,0,15,0,170
Iced Coffee with Milk,Venti®,Whole,No Whip,709,190.0,3.5,2.0,0.1,10.0,60,35,0,35.0,4.0,4,0,10,0,170
Iced Coffee with Milk,Venti®,Soy,No Whip,709,160.0,1.5,0.2,0.0,0.0,55,33,0,32.0,3.0,4,0,15,6,170
Iced Coffee with Milk,Venti®,Coconut,No Whip,709,160.0,2.5,2.0,0.0,0.0,55,33,0,33.0,1.0,0,0,2,0,205
Iced Coffee with Milk,Trenta,Nonfat,No Whip,887,210.0,0.2,0.1,0.0,5.0,70,46,0,46.0,5.0,8,0,15,0,190
Iced Coffee with Milk,Trenta,2%,No Whip,887,230.0,3.0,1.5,0.1,10.0,80,46,0,46.0,5.0,8,0,15,0,190
Iced Coffee with Milk,Trenta,Whole,No Whip,887,240.0,4.5,2.5,0.1,15.0,75,46,0,46.0,5.0,6,0,15,0,190
Iced Coffee with Milk,Trenta,Soy,No Whip,887,220.0,2.0,0.3,0.0,0.0,65,44,1,43.0,4.0,6,0,15,8,190
Iced Coffee with Milk,Trenta,Coconut,No Whip,887,210.0,3.0,3.0,0.0,0.0,70,44,0,44.0,1.0,0,0,2,0,190
Cold Brewed Coffee,Tall,No Milk,No Whip,354,2.0,0.0,0.0,0.0,0.0,10,0,0,0.0,0.1,0,0,0,0,150
Cold Brewed Coffee,Grande,No Milk,No Whip,473,3.0,0.0,0.0,0.0,0.0,15,0,0,0.0,0.2,0,0,2,0,200
Cold Brewed Coffee,Venti®,No Milk,No Whip,709,4.0,0.0,0.0,0.0,0.0,20,0,0,0.0,0.3,0,0,2,0,300
Cold Brewed Coffee,Trenta,No Milk,No Whip,887,5.0,0.0,0.0,0.0,0.0,25,0,0,0.0,0.3,0,0,2,0,330
Vanilla Sweet Cream Cold Brew,Tall,No Milk,No Whip,354,100.0,6.0,3.5,0.2,20.0,20,12,0,12.0,1.0,6,0,2,0,140
Vanilla Sweet Cream Cold Brew,Grande,No Milk,No Whip,473,110.0,6.0,3.5,0.2,20.0,25,14,0,14.0,1.0,6,0,4,0,185
Vanilla Sweet Cream Cold Brew,Venti®,No Milk,No Whip,709,200.0,11.0,7.0,0.3,40.0,40,24,0,24.0,1.0,15,0,6,0,275
Vanilla Sweet Cream Cold Brew,Trenta,No Milk,No Whip,887,210.0,11.0,7.0,0.3,40.0,45,26,0,26.0,2.0,15,0,6,0,320
Caffè Americano,Tall,No Milk,No Whip,354,10.0,0.0,0.0,0.0,0.0,10,2,0,0.0,1.0,0,0,2,0,150
Caffè Americano,Grande,No Milk,No Whip,473,15.0,0.0,0.0,0.0,0.0,15,3,0,0.0,1.0,0,0,2,0,225
Caffè Americano,Venti®,No Milk,No Whip,591,25.0,0.0,0.0,0.0,0.0,15,4,0,0.0,1.0,0,0,2,0,300
Iced Caffè Americano,Tall,No Milk,No Whip,354,10.0,0.0,0.0,0.0,0.0,10,2,0,0.0,1.0,0,0,2,0,150
Iced Caffè Americano,Grande,No Milk,No Whip,473,15.0,0.0,0.0,0.0,0.0,15,3,0,0.0,1.0,0,0,2,0,225
Iced Caffè Americano,Venti®,No Milk,No Whip,709,25.0,0.0,0.0,0.0,0.0,20,4,0,0.0,1.0,0,0,2,0,300
Caffè Latte,Short,Nonfat,No Whip,236,70.0,0.1,0.1,0.0,5.0,75,10,0,9.0,6.0,10,0,20,0,75
Caffè Latte,Short,2%,No Whip,236,100.0,3.5,2.5,0.2,15.0,85,10,0,9.0,6.0,10,0,20,0,75
Caffè Latte,Short,Whole,No Whip,236,110.0,6.0,3.5,0.2,20.0,75,10,0,9.0,6.0,8,0,20,0,75
Caffè Latte,Short,Soy,No Whip,236,70.0,2.5,0.4,0.0,0.0,65,6,1,4.0,5.0,6,0,20,8,75
Caffè Latte,Short,Coconut,No Whip,236,70.0,4.0,4.0,0.0,0.0,75,7,0,6.0,1.0,0,0,0,0,75
Caffè Latte,Tall,Nonfat,No Whip,354,100.0,0.2,0.2,0.0,5.0,120,15,0,14.0,10.0,15,0,30,0,75
Caffè Latte,Tall,2%,No Whip,354,150.0,6.0,3.5,0.2,25.0,135,15,0,14.0,10.0,15,0,30,0,75
Caffè Latte,Tall,Whole,No Whip,354,180.0,9.0,5.0,0.3,30.0,125,15,0,14.0,9.0,15,0,30,0,75
Caffè Latte,Tall,Soy,No Whip,354,110.0,4.5,0.5,0.0,0.0,105,10,1,6.0,8.0,10,0,30,15,75
Caffè Latte,Tall,Coconut,No Whip,354,110.0,7.0,6.0,0.0,0.0,120,11,0,10.0,1.0,0,0,0,0,75
Caffè Latte,Grande,Nonfat,No Whip,473,130.0,0.3,0.2,0.0,5.0,150,19,0,18.0,13.0,20,0,40,0,150
Caffè Latte,Grande,2%,No Whip,473,190.0,7.0,4.5,0.3,30.0,170,19,0,17.0,12.0,20,2,40,0,150
Caffè Latte,Grande,Whole,No Whip,473,230.0,11.0,7.0,0.3,35.0,150,19,0,17.0,12.0,15,0,35,0,150
Caffè Latte,Grande,Soy,No Whip,473,150.0,5.0,0.5,0.0,0.0,130,13,1,8.0,10.0,15,0,40,15,150
Caffè Latte,Grande,Coconut,No Whip,473,140.0,8.0,8.0,0.0,0.0,150,14,0,12.0,1.0,0,0,0,0,150
Caffè Latte,Venti®,Nonfat,No Whip,591,170.0,0.4,0.3,0.0,10.0,190,25,0,23.0,16.0,30,0,50,0,150
Caffè Latte,Venti®,2%,No Whip,591,240.0,9.0,6.0,0.4,35.0,220,24,0,22.0,16.0,25,2,50,0,150
Caffè Latte,Venti®,Whole,No Whip,591,290.0,15.0,9.0,0.5,45.0,200,24,0,22.0,15.0,20,0,50,0,150
Caffè Latte,Venti®,Soy,No Whip,591,190.0,7.0,1.0,0.0,0.0,170,16,2,11.0,13.0,20,0,50,25,150
Caffè Latte,Venti®,Coconut,No Whip,591,170.0,11.0,10.0,0.0,0.0,200,18,0,16.0,2.0,0,0,0,0,150
Iced Caffè Latte,Tall,Nonfat,No Whip,354,70.0,0.1,0.1,0.0,5.0,80,10,0,9.0,6.0,10,0,20,0,75
Iced Caffè Latte,Tall,2%,No Whip,354,100.0,3.5,2.0,0.1,15.0,90,10,0,9.0,6.0,10,0,20,0,75
Iced Caffè Latte,Tall,Whole,No Whip,354,120.0,6.0,3.5,0.2,20.0,85,10,0,9.0,6.0,8,0,20,0,75
Iced Caffè Latte,Tall,Soy,No Whip,354,80.0,3.0,0.4,0.0,0.0,75,7,1,4.0,5.0,8,0,20,10,75
Iced Caffè Latte,Tall,Coconut,No Whip,354,70.0,4.0,4.0,0.0,0.0,80,7,0,6.0,1.0,0,0,0,0,75
Iced Caffè Latte,Grande,Nonfat,No Whip,473,90.0,0.2,0.1,0.0,5.0,105,13,0,11.0,8.0,15,0,25,0,150
Iced Caffè Latte,Grande,2%,No Whip,473,130.0,4.5,2.5,0.1,20.0,115,13,0,11.0,8.0,15,0,25,0,150
Iced Caffè Latte,Grande,Whole,No Whip,473,150.0,7.0,4.5,0.2,25.0,105,13,0,11.0,8.0,10,0,25,0,150
Iced Caffè Latte,Grande,Soy,No Whip,473,100.0,3.5,0.5,0.0,0.0,95,9,1,5.0,7.0,10,0,25,10,150
Iced Caffè Latte,Grande,Coconut,No Whip,473,90.0,5.0,5.0,0.0,0.0,105,10,0,8.0,1.0,0,0,0,0,150
Iced Caffè Latte,Venti®,Nonfat,No Whip,709,130.0,0.3,0.2,0.0,5.0,140,19,0,16.0,12.0,20,0,35,0,225
Iced Caffè Latte,Venti®,2%,No Whip,709,180.0,6.0,3.0,0.2,25.0,160,18,0,15.0,12.0,20,2,35,0,225
Iced Caffè Latte,Venti®,Whole,No Whip,709,210.0,10.0,6.0,0.3,30.0,150,18,0,15.0,11.0,15,0,35,0,225
Iced Caffè Latte,Venti®,Soy,No Whip,709,150.0,5.0,0.5,0.0,0.0,130,13,1,8.0,10.0,15,0,40,15,225
Iced Caffè Latte,Venti®,Coconut,No Whip,709,130.0,7.0,7.0,0.0,0.0,150,14,0,11.0,2.0,0,0,2,0,225
Caffè Mocha,Short,Nonfat,No Whip,236,120.0,1.5,1.0,0.0,5.0,65,21,2,17.0,7.0,8,0,15,15,90
Caffè Mocha,Short,Nonfat,Whip,236,180.0,6.0,4.0,0.2,20.0,70,23,2,18.0,7.0,15,0,20,15,90
Caffè Mocha,Short,2%,No Whip,236,150.0,4.0,2.5,0.1,10.0,70,21,2,17.0,7.0,8,0,15,15,90
Caffè Mocha,Short,2%,Whip,236,200.0,9.0,6.0,0.3,30.0,75,22,2,18.0,7.0,15,0,20,15,90
Caffè Mocha,Short,Whole,No Whip,236,160.0,6.0,3.5,0.1,15.0,65,21,2,17.0,6.0,6,0,15,15,90
Caffè Mocha,Short,Whole,Whip,236,210.0,11.0,7.0,0.3,35.0,70,22,2,18.0,7.0,15,0,15,15,90
Caffè Mocha,Short,Soy,No Whip,236,130.0,3.5,1.0,0.0,0.0,55,18,3,13.0,6.0,6,0,15,25,90
Caffè Mocha,Short,Soy,Whip,236,180.0,9.0,4.0,0.2,20.0,60,20,3,14.0,6.0,10,0,20,25,90
Caffè Mocha,Short,Coconut,No Whip,236,130.0,4.5,4.0,0.0,0.0,65,19,2,15.0,2.0,0,0,0,15,90
Caffè Mocha,Short,Coconut,Whip,236,180.0,10.0,7.0,0.2,20.0,70,21,2,16.0,2.0,6,0,2,15,90
Caffè Mocha,Tall,Nonfat,No Whip,354,190.0,2.0,1.0,0.0,5.0,100,32,3,27.0,10.0,15,0,30,25,95
Caffè Mocha,Tall,Nonfat,Whip,354,250.0,8.0,5.0,0.2,25.0,110,34,3,28.0,11.0,20,0,30,25,95
Caffè Mocha,Tall,2%,No Whip,354,230.0,6.0,4.0,0.2,20.0,115,32,3,26.0,10.0,15,0,25,25,95
Caffè Mocha,Tall,2%,Whip,354,290.0,13.0,8.0,0.4,40.0,120,34,3,28.0,11.0,20,2,30,25,95
Caffè Mocha,Tall,Whole,No Whip,354,250.0,9.0,6.0,0.2,25.0,105,32,3,26.0,10.0,10,0,25,25,95
Caffè Mocha,Tall,Whole,Whip,354,310.0,16.0,9.0,0.4,45.0,110,34,3,28.0,10.0,20,0,25,25,95
Caffè Mocha,Tall,Soy,No Whip,354,200.0,5.0,1.5,0.0,0.0,90,28,4,20.0,9.0,10,0,25,35,95
Caffè Mocha,Tall,Soy,Whip,354,260.0,11.0,5.0,0.2,25.0,95,30,4,22.0,9.0,15,0,30,35,95
Caffè Mocha,Tall,Coconut,No Whip,354,190.0,7.0,6.0,0.0,0.0,105,29,3,23.0,3.0,0,0,2,25,95
Caffè Mocha,Tall,Coconut,Whip,354,250.0,13.0,10.0,0.2,25.0,110,30,3,25.0,3.0,6,0,2,25,95
Caffè Mocha,Grande,Nonfat,No Whip,473,250.0,2.5,1.5,0.0,5.0,125,42,4,34.0,13.0,20,0,35,35,175
Caffè Mocha,Grande,Nonfat,Whip,473,320.0,10.0,6.0,0.2,30.0,135,44,4,36.0,14.0,25,0,35,35,175
Caffè Mocha,Grande,2%,No Whip,473,290.0,8.0,5.0,0.2,25.0,140,42,4,34.0,13.0,15,2,35,35,175
Caffè Mocha,Grande,2%,Whip,473,360.0,15.0,9.0,0.5,50.0,150,44,4,35.0,13.0,25,2,35,35,175
Caffè Mocha,Grande,Whole,No Whip,473,330.0,12.0,7.0,0.3,30.0,130,42,4,34.0,13.0,15,0,30,35,175
Caffè Mocha,Grande,Whole,Whip,473,400.0,19.0,11.0,0.5,55.0,135,44,4,35.0,13.0,20,0,35,35,175
Caffè Mocha,Grande,Soy,No Whip,473,260.0,7.0,2.0,0.0,0.0,110,37,5,26.0,11.0,10,0,35,50,175
Caffè Mocha,Grande,Soy,Whip,473,330.0,14.0,6.0,0.2,25.0,115,39,5,28.0,12.0,20,0,35,50,175
Caffè Mocha,Grande,Coconut,No Whip,473,250.0,9.0,8.0,0.0,0.0,130,38,4,30.0,4.0,0,0,2,35,175
Caffè Mocha,Grande,Coconut,Whip,473,320.0,16.0,12.0,0.2,25.0,135,40,4,32.0,4.0,8,0,2,35,175
Caffè Mocha,Venti®,Nonfat,No Whip,591,310.0,3.5,2.0,0.0,10.0,170,54,5,44.0,17.0,25,0,45,40,185
Caffè Mocha,Venti®,Nonfat,Whip,591,390.0,10.0,6.0,0.2,35.0,170,56,5,45.0,18.0,30,0,45,40,185
Caffè Mocha,Venti®,2%,No Whip,591,380.0,11.0,7.0,0.3,30.0,190,53,5,43.0,17.0,20,2,45,40,185
Caffè Mocha,Venti®,2%,Whip,591,450.0,18.0,11.0,0.5,55.0,190,55,5,45.0,17.0,30,2,45,40,185
Caffè Mocha,Venti®,Whole,No Whip,591,420.0,16.0,9.0,0.4,40.0,170,53,5,43.0,16.0,20,0,40,40,185
Caffè Mocha,Venti®,Whole,Whip,591,490.0,23.0,13.0,0.5,65.0,180,55,5,45.0,17.0,25,0,45,40,185
Caffè Mocha,Venti®,Soy,No Whip,591,330.0,9.0,2.5,0.0,0.0,140,46,6,34.0,15.0,15,0,45,60,185
Caffè Mocha,Venti®,Soy,Whip,591,400.0,16.0,7.0,0.2,25.0,150,48,6,35.0,15.0,25,0,45,60,185
Caffè Mocha,Venti®,Coconut,No Whip,591,320.0,12.0,10.0,0.0,0.0,170,48,5,38.0,5.0,0,0,2,40,185
Caffè Mocha,Venti®,Coconut,Whip,591,390.0,19.0,15.0,0.2,25.0,180,50,5,40.0,5.0,8,0,4,40,185
Iced Caffè Mocha,Tall,Nonfat,No Whip,354,150.0,2.0,1.0,0.0,5.0,65,27,3,22.0,7.0,8,0,15,25,95
Iced Caffè Mocha,Tall,Nonfat,Whip,354,240.0,10.0,6.0,0.2,30.0,75,30,3,23.0,7.0,15,0,20,25,95
Iced Caffè Mocha,Tall,2%,No Whip,354,180.0,4.5,3.0,0.1,10.0,70,27,3,21.0,7.0,8,0,15,25,95
Iced Caffè Mocha,Tall,2%,Whip,354,260.0,12.0,8.0,0.4,40.0,80,29,3,23.0,7.0,15,0,20,25,95
Iced Caffè Mocha,Tall,Whole,No Whip,354,190.0,6.0,3.5,0.1,15.0,65,27,3,21.0,7.0,6,0,15,25,95
Iced Caffè Mocha,Tall,Whole,Whip,354,270.0,14.0,9.0,0.4,45.0,75,29,3,23.0,7.0,15,0,15,25,95
Iced Caffè Mocha,Tall,Soy,No Whip,354,160.0,4.0,1.5,0.0,0.0,60,25,3,18.0,6.0,6,0,15,30,95
Iced Caffè Mocha,Tall,Soy,Whip,354,240.0,12.0,6.0,0.2,30.0,65,27,3,20.0,7.0,15,0,20,30,95
Iced Caffè Mocha,Tall,Coconut,No Whip,354,150.0,5.0,4.0,0.0,0.0,65,25,3,19.0,3.0,0,0,2,25,95
Iced Caffè Mocha,Tall,Coconut,Whip,354,240.0,13.0,9.0,0.2,30.0,70,27,3,22.0,3.0,10,0,2,25,95
Iced Caffè Mocha,Grande,Nonfat,No Whip,473,200.0,2.5,1.5,0.0,5.0,80,36,4,28.0,9.0,10,0,20,35,175
Iced Caffè Mocha,Grande,Nonfat,Whip,473,320.0,14.0,8.0,0.3,45.0,90,40,4,30.0,10.0,25,0,25,35,175
Iced Caffè Mocha,Grande,2%,No Whip,473,230.0,6.0,3.5,0.1,15.0,90,36,4,28.0,9.0,10,0,20,35,175
Iced Caffè Mocha,Grande,2%,Whip,473,350.0,17.0,11.0,0.5,55.0,100,39,4,30.0,10.0,20,0,20,35,175
Iced Caffè Mocha,Grande,Whole,No Whip,473,250.0,8.0,4.5,0.2,15.0,80,36,4,28.0,9.0,8,0,20,35,175
Iced Caffè Mocha,Grande,Whole,Whip,473,360.0,19.0,12.0,0.5,60.0,95,39,4,30.0,9.0,20,0,20,35,175
Iced Caffè Mocha,Grande,Soy,No Whip,473,210.0,5.0,2.0,0.0,0.0,75,33,5,24.0,8.0,6,0,20,40,175
Iced Caffè Mocha,Grande,Soy,Whip,473,330.0,16.0,9.0,0.3,40.0,85,37,5,26.0,9.0,20,0,25,40,175
Iced Caffè Mocha,Grande,Coconut,No Whip,473,210.0,6.0,5.0,0.0,0.0,80,34,4,26.0,4.0,0,0,2,35,175
Iced Caffè Mocha,Grande,Coconut,Whip,473,320.0,18.0,12.0,0.3,40.0,95,37,4,29.0,4.0,15,0,4,35,175
Iced Caffè Mocha,Venti®,Nonfat,No Whip,709,300.0,3.5,2.5,0.0,5.0,110,53,6,41.0,13.0,15,0,30,50,265
Iced Caffè Mocha,Venti®,Nonfat,Whip,709,410.0,15.0,9.0,0.3,45.0,120,57,6,43.0,14.0,25,0,30,50,265
Iced Caffè Mocha,Venti®,2%,No Whip,709,340.0,8.0,5.0,0.2,20.0,120,53,6,41.0,13.0,15,0,30,50,265
Iced Caffè Mocha,Venti®,2%,Whip,709,450.0,19.0,12.0,0.5,60.0,130,56,6,43.0,13.0,25,2,30,50,265
Iced Caffè Mocha,Venti®,Whole,No Whip,709,360.0,11.0,6.0,0.2,25.0,110,53,6,41.0,12.0,10,0,25,50,265
Iced Caffè Mocha,Venti®,Whole,Whip,709,470.0,22.0,13.0,0.5,65.0,125,56,6,43.0,13.0,25,0,30,50,265
Iced Caffè Mocha,Venti®,Soy,No Whip,709,310.0,7.0,2.5,0.0,0.0,100,49,7,35.0,12.0,10,0,30,60,265
Iced Caffè Mocha,Venti®,Soy,Whip,709,430.0,18.0,10.0,0.3,40.0,110,53,7,37.0,12.0,20,0,30,60,265
Iced Caffè Mocha,Venti®,Coconut,No Whip,709,300.0,9.0,7.0,0.0,0.0,115,50,6,38.0,5.0,0,0,4,50,265
Iced Caffè Mocha,Venti®,Coconut,Whip,709,420.0,20.0,14.0,0.3,40.0,125,53,6,41.0,6.0,15,0,6,50,265
Cappuccino,Short,Nonfat,No Whip,236,50.0,0.1,0.1,0.0,5.0,60,8,0,7.0,5.0,8,0,15,0,75
Cappuccino,Short,2%,No Whip,236,80.0,3.0,1.5,0.1,10.0,70,8,0,7.0,5.0,8,0,15,0,75
Cappuccino,Short,Whole,No Whip,236,90.0,4.5,2.5,0.1,15.0,60,8,0,7.0,5.0,6,0,15,0,75
Cappuccino,Short,Soy,No Whip,236,50.0,1.5,0.2,0.0,0.0,40,4,0,3.0,3.0,4,0,10,6,75
